2008-04-16;212877;235011
2008-04-15;188475;228604
2008-04-14;162671;227582
2008-04-11;190254;229024
2008-04-10;215900;235170
2008-04-09;192205;232212
2008-04-08;163529;234876
2008-04-07;173002;236483
2008-04-04;197756;237098
2008-04-03;199348;236330
2008-04-02;199668;236140
2008-04-01;216012;236275
2008-03-31;178836;227910
2008-03-28;178577;226118
2008-03-27;203877;228083
2008-03-26;191521;232436
2008-03-25;209906;234105
2008-03-24;231260;232675
2008-03-20;276448;225811
2008-03-19;226542;220996
2008-03-18;241163;226826
2008-03-17;233821;217701
2008-03-14;254731;221249
2008-03-13;241922;226361
2008-03-12;207714;224387
2008-03-11;252604;225576
2008-03-10;210101;216934
2008-03-07;238698;221249
2008-03-06;216509;222050
2008-03-05;220909;227281
2008-03-04;266998;226028
2008-03-03;214507;225860
2008-02-29;240536;227148
2008-02-28;203204;233157
2008-02-27;221654;235378
2008-02-26;226365;234499
2008-02-25;215288;232748
2008-02-22;232445;230335
2008-02-21;227754;229978
2008-02-20;225818;232710
2008-02-19;198869;230620
2008-02-15;199954;232180
2008-02-14;226758;233254
2008-02-13;217467;237393
2008-02-12;218353;232004
2008-02-11;207227;232006
2008-02-08;222933;230485
2008-02-07;294636;229303
2008-02-06;236202;227875
2008-02-05;250182;230957
2008-02-04;205094;238285
2008-02-01;306018;241336
2008-01-31;281342;238986
2008-01-30;261885;234900
2008-01-29;216004;235806
2008-01-28;203386;234991
2008-01-25;259941;232620
2008-01-24;292890;236092
2008-01-23;365025;231641
2008-01-22;316143;229227
2008-01-18;299136;234002
2008-01-17;278593;234690
2008-01-16;339733;239459
2008-01-15;239012;241759
2008-01-14;213423;247830
2008-01-11;235549;243994
2008-01-10;264040;248852
2008-01-09;282116;247455
2008-01-08;256648;244051
2008-01-07;260010;249946
2008-01-04;251631;250465
2008-01-03;197020;260268
2008-01-02;207669;260963
2007-12-31;145455;265228
2007-12-28;133885;267446
2007-12-27;232482;267679
2007-12-26;124183;272441
2007-12-24;77862;271350
2007-12-21;250880;269199
2007-12-20;196047;264086
2007-12-19;183592;260101
2007-12-18;198259;259603
2007-12-17;187311;257446
2007-12-14;190239;263574
2007-12-13;214376;266849
2007-12-12;231190;267114
2007-12-11;219520;265235
2007-12-10;177654;271895
2007-12-07;185507;270616
2007-12-06;197068;270903
2007-12-05;225884;266636
2007-12-04;204474;261983
2007-12-03;199471;263713
2007-11-30;257134;266096
2007-11-29;215717;266813
2007-11-28;251858;266291
2007-11-27;216693;258080
2007-11-26;201940;254099
2007-11-23;80433;259660
2007-11-21;203473;256215
2007-11-20;260737;259681
2007-11-19;218801;259338
2007-11-16;251568;263724
2007-11-15;228948;261851
2007-11-14;242026;264432
2007-11-13;266278;267365
2007-11-12;282074;258413
2007-11-09;295579;262794
2007-11-08;346181;269600
2007-11-07;249118;274876
2007-11-06;248216;282518
2007-11-05;209259;279518
2007-11-02;242605;281038
2007-11-01;252841;279483
2007-10-31;253453;285912
2007-10-30;212193;281671
2007-10-29;201473;281744
2007-10-26;258368;280419
2007-10-25;275336;275086
2007-10-24;273968;277476
2007-10-23;233577;279926
2007-10-22;195871;275393
2007-10-19;237165;272516
2007-10-18;197301;279931
2007-10-17;240008;279267
2007-10-16;203852;276391
2007-10-15;196712;278005
2007-10-12;195779;280568
2007-10-11;250869;277220
2007-10-10;191663;281161
2007-10-09;186512;280391
2007-10-08;149661;278737
2007-10-05;201286;278032
2007-10-04;169552;273357
2007-10-03;185109;272943
2007-10-02;174046;274711
2007-10-01;191408;274099
2007-09-28;192989;270150
2007-09-27;174507;270959
2007-09-26;198401;269903
2007-09-25;191089;268345
2007-09-24;184895;266795
2007-09-21;226830;267122
2007-09-20;175146;265429
2007-09-19;218381;266648
2007-09-18;208362;265166
2007-09-17;140778;258166
2007-09-14;158658;260218
2007-09-13;166651;260106
2007-09-12;188857;259207
2007-09-11;174373;259747
2007-09-10;177143;255911
2007-09-07;190652;256570
2007-09-06;179522;261432
2007-09-05;192182;260595
2007-09-04;186309;263024
2007-08-31;153664;259636
2007-08-30;170491;256530
2007-08-29;164972;256316
2007-08-28;156280;250064
2007-08-27;131403;256125
2007-08-24;162486;257669
2007-08-23;162288;254170
2007-08-22;178706;255280
2007-08-21;167708;252130
2007-08-20;165644;250859
2007-08-17;258034;250503
2007-08-16;327962;245107
2007-08-15;225987;245883
2007-08-14;198286;249912
2007-08-13;215475;254224
2007-08-10;320257;254489
2007-08-09;359345;255649
2007-08-08;354289;261298
2007-08-07;270403;256160
2007-08-06;281556;254733
2007-08-03;250443;251125
2007-08-02;245697;257598
2007-08-01;291227;255387
2007-07-31;278913;254627
2007-07-30;229171;258328
2007-07-27;270529;256224
2007-07-26;339214;259934
2007-07-25;248225;264817
2007-07-24;246327;263986
2007-07-23;203408;269058
2007-07-20;233592;268760
2007-07-19;217750;272004
2007-07-18;225738;269949
2007-07-17;215869;271229
2007-07-16;175106;269733
2007-07-13;172919;270700
2007-07-12;216635;270173
2007-07-11;201426;265179
2007-07-10;222934;263916
2007-07-09;189520;267002
2007-07-06;159711;266651
2007-07-05;169453;265665
2007-07-03;108912;264495
2007-07-02;185384;263230
2007-06-29;216842;260323
2007-06-28;192341;260837
2007-06-27;202026;260535
2007-06-26;210033;257416
2007-06-25;203901;257708
2007-06-22;324035;258896
2007-06-21;256264;261696
2007-06-20;279326;259996
2007-06-19;187188;262676
2007-06-18;171712;262660
2007-06-15;242075;262671
2007-06-14;193622;259941
2007-06-13;208661;258231
2007-06-12;204721;254977
2007-06-11;161498;257215
2007-06-08;190813;257354
2007-06-07;271624;254138
2007-06-06;216343;258718
2007-06-05;218281;261123
2007-06-04;194722;261829
2007-06-01;188003;261392
2007-05-31;228685;260452
2007-05-30;196915;259259
2007-05-29;165100;257206
2007-05-25;155970;255719
2007-05-24;235085;253792
2007-05-23;201106;257705
2007-05-22;194395;258802
2007-05-21;197422;257879
2007-05-18;199693;255845
2007-05-17;192489;253938
2007-05-16;206105;254742
2007-05-15;218776;252529
2007-05-14;194145;254644
2007-05-11;172555;256222
2007-05-10;223761;253374
2007-05-09;210422;257634
2007-05-08;189775;257175
2007-05-07;165230;257095
2007-05-04;221413;257215
2007-05-03;213714;256546
2007-05-02;207315;255784
2007-05-01;235175;253153
2007-04-30;208071;252509
2007-04-27;207816;255721
2007-04-26;240609;255446
2007-04-25;264412;254789
2007-04-24;222061;252454
2007-04-23;192853;252367
2007-04-20;208427;252639
2007-04-19;211292;250535
2007-04-18;204676;251050
2007-04-17;190092;251695
2007-04-16;177941;251833
2007-04-13;183432;249194
2007-04-12;190550;248032
2007-04-11;195797;245931
2007-04-10;183453;247761
2007-04-09;171488;246918
2007-04-05;153780;247134
2007-04-04;193330;245869
2007-04-03;193203;245033
2007-04-02;178417;242226
2007-03-30;199855;242164
2007-03-29;192607;241788
2007-03-28;186831;241710
2007-03-27;170806;243743
2007-03-26;181787;245563
2007-03-23;163447;244893
2007-03-22;188729;245174
2007-03-21;215874;245592
2007-03-20;176194;240821
2007-03-19;165097;239441
2007-03-16;203165;237266
2007-03-15;169043;237870
2007-03-14;225563;237174
2007-03-13;223500;235057
2007-03-12;163798;240229
2007-03-09;187505;238755
2007-03-08;198991;238773
2007-03-07;195933;237464
2007-03-06;212143;238514
2007-03-05;229168;234068
2007-03-02;235279;236800
2007-03-01;271075;240421
2007-02-28;262045;241615
2007-02-27;303738;240786
2007-02-26;191248;250452
2007-02-23;201222;251510
2007-02-22;185096;252494
2007-02-21;201245;251842
2007-02-20;216559;251304
2007-02-16;188743;249631
2007-02-15;194967;249710
2007-02-14;217358;248838
2007-02-13;182139;245988
2007-02-12;184025;245038
2007-02-09;218659;245982
2007-02-08;199588;248867
2007-02-07;219841;249050
2007-02-06;211371;247149
2007-02-05;187531;247060
2007-02-02;187677;247588
2007-02-01;217004;246838
2007-01-31;218671;246393
2007-01-30;176960;244864
2007-01-29;191540;244109
2007-01-26;206708;243549
2007-01-25;220228;243424
2007-01-24;220204;246628
2007-01-23;200110;243141
2007-01-22;190086;243107
2007-01-19;203789;245131
2007-01-18;245618;244321
2007-01-17;227388;247942
2007-01-16;213955;249778
2007-01-12;217581;250282
2007-01-11;243627;248485
2007-01-10;227421;245933
2007-01-09;214416;244383
2007-01-08;190562;243820
2007-01-05;206036;243425
2007-01-04;210421;245343
2007-01-03;243528;242316
2006-12-29;141392;241529
2006-12-28;123753;242557
2006-12-27;121626;243122
2006-12-26;101620;241351
2006-12-22;130653;240118
2006-12-21;173288;241585
2006-12-20;174953;242761
2006-12-19;196072;242955
2006-12-18;193635;243557
2006-12-15;232465;245720
2006-12-14;188951;245385
2006-12-13;178243;243241
2006-12-12;192754;243160
2006-12-11;181334;244286
2006-12-08;184060;243736
2006-12-07;205103;242769
2006-12-06;188900;244586
2006-12-05;199060;245238
2006-12-04;195453;244839
2006-12-01;204052;241321
2006-11-30;213420;243177
2006-11-29;190343;243223
2006-11-28;195863;241261
2006-11-27;195030;240592
2006-11-24;68151;246026
2006-11-22;157312;246598
2006-11-21;166027;245484
2006-11-20;169748;245272
2006-11-17;173240;244586
2006-11-16;203883;244906
2006-11-15;210387;244275
2006-11-14;192637;243066
2006-11-13;172081;240638
2006-11-10;168046;238972
2006-11-09;238024;237601
2006-11-08;207602;238494
2006-11-07;208877;237588
2006-11-06;189225;236595
2006-11-03;183005;233079
2006-11-02;188731;233402
2006-11-01;202702;233435
2006-10-31;192215;236671
2006-10-30;172418;236377
2006-10-27;226895;235062
2006-10-26;233954;237910
2006-10-25;210078;235659
2006-10-24;185688;234484
2006-10-23;182348;235556
2006-10-20;192207;234230
2006-10-19;200069;234094
2006-10-18;213075;233715
2006-10-17;212595;234495
2006-10-16;182362;236384
2006-10-13;194053;235729
2006-10-12;200396;234618
2006-10-11;199560;230827
2006-10-10;176036;231543
2006-10-09;148528;231177
2006-10-06;167247;229999
2006-10-05;191109;230634
2006-10-04;219028;229095
2006-10-03;194680;224365
2006-10-02;176917;223760
2006-09-29;181212;225843
2006-09-28;180526;227002
2006-09-27;203910;226339
2006-09-26;201114;226134
2006-09-25;183386;224907
2006-09-22;164654;221893
2006-09-21;199311;223775
2006-09-20;216494;225289
2006-09-19;207992;222237
2006-09-18;191420;223575
2006-09-15;245587;223559
2006-09-14;182660;222873